Species,Owner,Country.of.Origin,Altitude,Region,Harvest.Year,Grading.Date,Variety,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points,Moisture,Color,Expiration,altitude_low_meters,altitude_high_meters,altitude_mean_meters
Arabica,bugisu cooperative union,Uganda,1800,eastern,2015,"July 21st, 2016",SL14,Washed / Wet,7.58,7.75,7.33,7.75,7.67,7.58,10.0,10.0,10.0,7.75,83.42,0.11,Green,"July 21st, 2017",1800.0,1800.0,1800.0
Arabica,æ¾æ¾¤å®æ¨¹ koju matsuzawa,Thailand,1200,thailand,2015,"June 27th, 2016",Catimor,Washed / Wet,7.5,7.58,7.75,7.5,7.75,7.67,10.0,10.0,10.0,7.67,83.42,0.13,Bluish-Green,"June 27th, 2017",1200.0,1200.0,1200.0
Arabica,consejo salvadoreÃ±o del cafÃ©,El Salvador,1330,apaneca,2016,"April 25th, 2016",Bourbon,Washed / Wet,7.58,7.5,7.75,7.58,7.75,7.67,10.0,10.0,10.0,7.58,83.42,0.11,Green,"April 25th, 2017",1330.0,1330.0,1330.0
Arabica,carcafe ltda ci,Colombia,442 msnm,huila,2015,"April 29th, 2015",Caturra,Natural / Dry,7.58,7.67,7.58,7.67,7.58,7.67,10.0,10.0,10.0,7.67,83.42,0.12,Green,"April 28th, 2016",442.0,442.0,442.0
Arabica,bourbon specialty coffees,Brazil,1100,vale da grama,2014,"January 15th, 2015",Yellow Bourbon,Semi-washed / Semi-pulped,7.33,7.83,7.75,7.5,7.42,7.83,10.0,10.0,10.0,7.75,83.42,0.12,Green,"January 15th, 2016",1750.5334541516245,1798.9861761732852,1774.759815162455
Arabica,ngila estate ltd,"Tanzania, United Republic Of",1600,karatu northern,2014,"December 12th, 2014",Bourbon,Washed / Wet,7.75,7.67,7.58,7.67,7.58,7.58,10.0,10.0,10.0,7.58,83.42,0.13,Green,"December 12th, 2015",1600.0,1600.0,1600.0
Arabica,compaÃ±ia colombiana agroindustrial s.a,Colombia,1813,huila,2014/2015,"October 15th, 2014",Caturra,Washed / Wet,7.58,7.58,7.25,7.75,7.75,8.58,9.33,10.0,10.0,7.58,83.42,0.12,Green,"October 15th, 2015",1813.0,1813.0,1813.0
Arabica,juan luis alvarado romero,Guatemala,4000 psnm,oriente,2013,"August 21st, 2014",Bourbon,Natural / Dry,7.75,7.83,7.33,7.83,7.5,7.67,10.0,10.0,10.0,7.5,83.42,0.1,Green,"August 21st, 2015",1219.2,1219.2,1219.2
Arabica,juan luis alvarado romero,Guatemala,1500 msnm,antigua,2014,"February 18th, 2014",Caturra,Washed / Wet,7.67,7.75,7.5,7.83,7.58,7.5,10.0,10.0,10.0,7.58,83.42,0.1,Green,"February 18th, 2015",1500.0,1500.0,1500.0
Arabica,juan luis alvarado romero,Guatemala,4300,oriente,2013,"July 16th, 2013",Bourbon,Washed / Wet,7.67,7.5,7.75,7.42,7.75,7.75,10.0,10.0,10.0,7.58,83.42,0.11,Green,"July 16th, 2014",1310.64,1310.64,1310.64
Arabica,kona pacific farmers cooperative,United States (Hawaii),1100,kona,2012,"January 24th, 2013",Hawaiian Kona,Natural / Dry,7.42,7.75,7.67,7.58,7.67,7.67,10.0,10.0,10.0,7.67,83.42,0.0,Green,"January 24th, 2014",1750.5334541516245,1798.9861761732852,1774.759815162455
Arabica,exportadora de cafe condor s.a,Colombia,1450 msnm,cundinamarca,2012,"June 26th, 2012",Caturra,Washed / Wet,7.5,7.75,7.58,7.5,7.67,7.75,10.0,10.0,10.0,7.67,83.42,0.11,Green,"June 26th, 2013",1450.0,1450.0,1450.0
Arabica,federacion nacional de cafeteros,Colombia,1100,huila,2012,"February 1st, 2011",Caturra,Washed / Wet,7.58,7.58,7.58,7.67,7.75,7.67,10.0,10.0,10.0,7.58,83.42,0.1,Green,"February 1st, 2012",1750.5334541516245,1798.9861761732852,1774.759815162455
Arabica,kona pacific farmers cooperative,United States (Hawaii),1100,kona,2010,"December 27th, 2010",Caturra,Washed / Wet,7.5,7.92,7.42,7.67,7.83,7.58,10.0,10.0,10.0,7.5,83.42,0.01,Green,"December 27th, 2011",1750.5334541516245,1798.9861761732852,1774.759815162455
Arabica,doi tung development project,Thailand,1100,huila,2012,"April 13th, 2010",Peaberry,Washed / Wet,7.58,7.25,7.5,7.92,7.92,7.42,10.0,10.0,10.0,7.83,83.42,0.11,Green,"April 13th, 2011",1750.5334541516245,1798.9861761732852,1774.759815162455
Arabica,grounds for health admin,Mexico,900-1200mtr,nayarit,January Through April,"May 26th, 2010",Caturra,Washed / Wet,7.25,7.88,7.38,7.63,7.5,8.75,9.0,10.0,10.0,8.0,83.38,0.09,Green,"May 26th, 2011",900.0,1200.0,1050.0
Arabica,exportadora de cafe condor s.a,Colombia,1650,huila,2016,"November 8th, 2016",Caturra,Washed / Wet,7.75,7.5,7.75,7.58,7.58,7.58,10.0,10.0,10.0,7.58,83.33,0.0,Green,"November 8th, 2017",1650.0,1650.0,1650.0
Arabica,racafe & cia s.c.a,Colombia,1100,guayata,2016,"June 15th, 2016",Caturra,Washed / Wet,7.67,7.58,7.58,7.42,7.67,7.75,10.0,10.0,10.0,7.67,83.33,0.0,Blue-Green,"June 15th, 2017",1750.5334541516245,1798.9861761732852,1774.759815162455
Arabica,racafe & cia s.c.a,Colombia,1100,huila,2016,"May 5th, 2016",Caturra,Washed / Wet,7.83,7.58,7.58,7.58,7.5,7.58,10.0,10.0,10.0,7.67,83.33,0.0,Green,"May 5th, 2017",1750.5334541516245,1798.9861761732852,1774.759815162455
Arabica,ipanema coffees,Brazil,1227,south of minas,2015/2016,"October 12th, 2015",Catuai,Semi-washed / Semi-pulped,7.5,7.83,7.33,7.58,7.58,7.92,10.0,10.0,10.0,7.58,83.33,0.1,Green,"October 11th, 2016",1227.0,1227.0,1227.0
Arabica,andreas kussmaul,Mexico,1200,chiapas,2014,"July 14th, 2015",Caturra,Washed / Wet,7.75,7.75,7.5,7.67,7.5,7.58,10.0,10.0,10.0,7.58,83.33,0.12,Green,"July 13th, 2016",1200.0,1200.0,1200.0
Arabica,exportadora de cafe condor s.a,Colombia,1650 msnm,santander,2015,"April 8th, 2015",Caturra,Washed / Wet,7.67,7.75,7.42,7.83,7.83,7.42,10.0,10.0,10.0,7.42,83.33,0.11,Green,"April 7th, 2016",1650.0,1650.0,1650.0
Arabica,afca,"Tanzania, United Republic Of",1700,arusha,2014,"December 12th, 2014",Other,Semi-washed / Semi-pulped,7.75,7.58,7.67,7.58,7.58,7.58,10.0,10.0,10.0,7.58,83.33,0.12,Green,"December 12th, 2015",1700.0,1700.0,1700.0
Arabica,j.andrade,Mexico,1100,veracruz,2013,"July 15th, 2014",Other,Washed / Wet,7.67,7.67,7.58,7.67,7.5,7.58,10.0,10.0,10.0,7.67,83.33,0.12,Green,"July 15th, 2015",1100.0,1100.0,1100.0
Arabica,the coffee source inc.,Costa Rica,1300 msnm,san ramon,2014,"April 7th, 2014",Caturra,Washed / Wet,7.67,7.67,7.42,7.67,7.67,7.67,10.0,10.0,10.0,7.58,83.33,0.12,Green,"April 7th, 2015",1300.0,1300.0,1300.0
Arabica,eileen koyanagi,United States (Hawaii),1100,kona,2014,"February 25th, 2014",Hawaiian Kona,Natural / Dry,7.83,7.58,7.83,7.67,7.92,8.0,9.33,10.0,9.33,7.83,83.33,0.11,Bluish-Green,"February 25th, 2015",1750.5334541516245,1798.9861761732852,1774.759815162455
Arabica,eric thormaehlen,Costa Rica,1100-1300,central valley,2013,"February 14th, 2014",Catuai,Washed / Wet,7.5,7.67,7.67,7.5,7.83,7.17,10.0,10.0,10.0,8.0,83.33,0.11,Green,"February 14th, 2015",1100.0,1300.0,1200.0
Arabica,dane loraas,Peru,1100,huila,2013,"January 21st, 2014",Caturra,Washed / Wet,7.83,7.75,7.58,7.83,7.92,7.58,9.33,10.0,10.0,7.5,83.33,0.12,Green,"January 21st, 2015",1750.5334541516245,1798.9861761732852,1774.759815162455
Arabica,itiah coffee llc,Haiti,4200 feet,"thiotte, haiti",2012,"October 3rd, 2013",Typica,Washed / Wet,7.58,7.5,7.67,7.5,7.83,7.42,10.0,10.0,10.0,7.83,83.33,0.11,Green,"October 3rd, 2014",1280.16,1280.16,1280.16
Arabica,carcafe ltda ci,Colombia,1000 msnm,pitalito,2013,"April 26th, 2013",Caturra,Natural / Dry,7.67,7.67,7.5,7.67,7.92,7.42,10.0,10.0,10.0,7.5,83.33,0.11,Green,"April 26th, 2014",1000.0,1000.0,1000.0
Arabica,juan luis alvarado romero,Guatemala,4300,oriente,2013,"February 26th, 2013",Bourbon,Washed / Wet,7.83,7.67,7.17,7.67,7.67,7.67,10.0,10.0,10.0,7.67,83.33,0.11,Green,"February 26th, 2014",1310.64,1310.64,1310.64
Arabica,kona pacific farmers cooperative,United States (Hawaii),1100,kona,2012,"January 24th, 2013",Hawaiian Kona,Natural / Dry,7.92,7.5,7.58,7.83,7.67,7.67,9.33,10.0,10.0,7.83,83.33,0.1,Bluish-Green,"January 24th, 2014",1750.5334541516245,1798.9861761732852,1774.759815162455
Arabica,steven kil,Burundi,1880,kayanza,2012,"August 29th, 2012",Bourbon,Washed / Wet,7.75,7.67,7.33,7.5,7.5,7.75,10.0,10.0,10.0,7.83,83.33,0.0,Green,"August 29th, 2013",1880.0,1880.0,1880.0
Arabica,exportadora de cafe condor s.a,Colombia,1750 msnm,huila,2012,"May 30th, 2012",Caturra,Washed / Wet,7.5,7.67,7.67,7.58,7.67,7.58,10.0,10.0,10.0,7.67,83.33,0.0,Green,"May 30th, 2013",1750.0,1750.0,1750.0
Arabica,kona pacific farmers cooperative,United States (Hawaii),1100,kona,2012,"September 20th, 2011",Caturra,Washed / Wet,8.08,7.83,7.83,7.75,7.67,7.58,9.33,10.0,9.33,7.92,83.33,0.01,Green,"September 19th, 2012",1750.5334541516245,1798.9861761732852,1774.759815162455
Arabica,kona pacific farmers cooperative,United States (Hawaii),1100,huila,2012,"February 24th, 2011",Caturra,Washed / Wet,7.58,7.67,7.58,7.5,7.83,7.67,10.0,10.0,10.0,7.5,83.33,0.0,Green,"February 24th, 2012",1750.5334541516245,1798.9861761732852,1774.759815162455
Arabica,cafe de don balbino s.c. de r.l. de c.v.,Mexico,1600,sierra madre occidental,2017,"March 7th, 2017",Typica,Washed / Wet,7.67,7.83,7.42,7.83,7.33,7.5,10.0,10.0,10.0,7.67,83.25,0.11,Blue-Green,"March 7th, 2018",1600.0,1600.0,1600.0
Arabica,troy quimby,Costa Rica,1900,tarrazu,2016,"January 30th, 2017",Catuai,Pulped natural / honey,7.5,7.5,7.83,7.5,7.67,7.67,10.0,10.0,10.0,7.58,83.25,0.11,Green,"January 30th, 2018",1900.0,1900.0,1900.0
Arabica,rodrigo soto,Costa Rica,1100,tarrazu,2015,"September 20th, 2016",Caturra,Washed / Wet,7.83,7.5,7.42,7.67,7.5,7.67,10.0,10.0,10.0,7.67,83.25,0.11,Green,"September 20th, 2017",1750.5334541516245,1798.9861761732852,1774.759815162455
Arabica,juan luis alvarado romero,Guatemala,2100,nuevo oriente,2016,"August 12th, 2016",Pacas,Washed / Wet,7.5,7.58,7.42,7.83,7.67,7.58,10.0,10.0,10.0,7.67,83.25,0.11,Green,"August 12th, 2017",2100.0,2100.0,2100.0
Arabica,kawacom uganda ltd,Uganda,1100,"sipi, mt elgon",2015,"May 19th, 2016",SL14,Washed / Wet,7.5,7.67,7.67,7.42,7.67,7.67,10.0,10.0,10.0,7.67,83.25,0.12,Green,"May 19th, 2017",1750.5334541516245,1798.9861761732852,1774.759815162455
Arabica,bourbon specialty coffees,Brazil,1100,campos altos - cerrado,2016,"January 12th, 2016",Caturra,Washed / Wet,7.58,7.67,7.42,7.5,7.67,7.42,10.0,10.0,10.0,8.0,83.25,0.12,Green,"January 11th, 2017",1750.5334541516245,1798.9861761732852,1774.759815162455
Arabica,carcafe ltda ci,Colombia,442 msnm,huila,2015/2016,"November 27th, 2015",Caturra,Natural / Dry,7.58,7.67,7.67,7.17,7.75,7.83,10.0,10.0,10.0,7.58,83.25,0.0,Green,"November 26th, 2016",442.0,442.0,442.0
Arabica,productos y servicios chilindron s.a. de c.v.,Mexico,1261,cuarenteÃ±o,2015,"July 14th, 2015",Typica,Natural / Dry,7.83,7.75,7.5,7.58,7.58,7.58,10.0,10.0,10.0,7.42,83.25,0.12,Bluish-Green,"July 13th, 2016",1261.0,1261.0,1261.0
Arabica,"lin, che-hao krude æž—å“²è±ª",Taiwan,1000 m,natou county,2015,"June 18th, 2015",Bourbon,Washed / Wet,7.67,7.5,7.5,7.5,7.67,7.83,10.0,10.0,10.0,7.58,83.25,0.1,Blue-Green,"June 17th, 2016",1000.0,1000.0,1000.0
Arabica,cqi taiwan icp cqiå°ç£åˆä½œå¤¥ä¼´,Taiwan,800å…¬å°º,å—æŠ•åœ‹å§“,2014,"November 23rd, 2014",Typica,Washed / Wet,7.92,7.83,7.75,7.58,7.5,7.33,10.0,10.0,10.0,7.33,83.25,0.1,Green,"November 23rd, 2015",800.0,800.0,800.0
Arabica,compaÃ±ia colombiana agroindustrial s.a,Colombia,1483,eje cafetero,2014,"June 24th, 2014",Caturra,Natural / Dry,7.58,7.58,7.5,7.58,7.58,7.75,10.0,10.0,10.0,7.67,83.25,0.0,Green,"June 24th, 2015",1483.0,1483.0,1483.0
Arabica,juan luis alvarado romero,Guatemala,1500 msnm,antigua,2014,"March 7th, 2014",Caturra,Washed / Wet,7.5,7.67,7.58,7.67,7.67,7.5,10.0,10.0,10.0,7.67,83.25,0.1,Green,"March 7th, 2015",1500.0,1500.0,1500.0
Arabica,exportadora de cafe condor s.a,Colombia,1750 msnm,huila,2013,"August 2nd, 2013",Caturra,Washed / Wet,7.83,7.5,7.67,7.33,7.67,7.67,10.0,10.0,10.0,7.58,83.25,0.11,Green,"August 2nd, 2014",1750.0,1750.0,1750.0
Arabica,calixto guillen vazquez,Mexico,1300,chiapas,2013,"March 29th, 2013",Bourbon,Washed / Wet,7.58,7.75,7.5,7.5,7.58,7.58,10.0,10.0,10.0,7.75,83.25,0.12,Green,"March 29th, 2014",1300.0,1300.0,1300.0
Arabica,kona pacific farmers cooperative,United States (Hawaii),1100,kona,2012,"March 21st, 2013",Hawaiian Kona,Natural / Dry,7.58,7.75,7.83,8.0,8.08,7.67,9.33,10.0,9.33,7.67,83.25,0.11,Bluish-Green,"March 21st, 2014",1750.5334541516245,1798.9861761732852,1774.759815162455
Arabica,ernesto rodriguez luna,Mexico,1100,veracruz,2012,"August 1st, 2012",Mundo Novo,Washed / Wet,7.75,7.58,7.58,7.58,7.5,7.58,10.0,10.0,10.0,7.67,83.25,0.13,Green,"August 1st, 2013",1750.5334541516245,1798.9861761732852,1774.759815162455
Arabica,modesto landeros flores,Mexico,1000,fortÃ­n de las flores,2012,"July 11th, 2012",Caturra,Washed / Wet,7.75,7.75,7.42,7.92,7.33,7.5,10.0,10.0,10.0,7.58,83.25,0.12,Blue-Green,"July 11th, 2013",1000.0,1000.0,1000.0
Arabica,juan luis alvarado romero,Guatemala,4300,oriente,2012,"July 9th, 2012",Bourbon,Washed / Wet,7.83,7.58,7.08,7.83,7.42,8.08,10.0,10.0,10.0,7.42,83.25,0.11,Green,"July 9th, 2013",1310.64,1310.64,1310.64
Arabica,nucoffee,Brazil,1200m,grama valley,2012,"February 23rd, 2012",Yellow Bourbon,Semi-washed / Semi-pulped,7.75,7.67,7.5,7.58,7.58,7.58,10.0,10.0,10.0,7.58,83.25,0.11,Blue-Green,"February 22nd, 2013",1200.0,1200.0,1200.0
Arabica,exportadora de cafe condor s.a,Colombia,175,huila,2012,"February 22nd, 2012",Caturra,Washed / Wet,7.67,7.58,7.58,7.42,7.83,7.58,10.0,10.0,10.0,7.58,83.25,0.12,Green,"February 21st, 2013",175.0,175.0,175.0
Arabica,racafe & cia s.c.a,Colombia,de 1600 a 1950 msnm,la plata,2012,"February 9th, 2012",Caturra,Washed / Wet,7.67,7.67,7.5,7.5,7.58,7.67,10.0,10.0,10.0,7.67,83.25,0.11,Green,"February 8th, 2013",1600.0,1950.0,1775.0
Arabica,exportadora de cafe condor s.a,Colombia,1600-1800msnm,huila,1T/2011,"June 14th, 2011",Caturra,Washed / Wet,7.92,7.75,7.25,7.42,7.83,7.58,10.0,10.0,10.0,7.5,83.25,0.08,Green,"June 13th, 2012",1600.0,1800.0,1700.0
Arabica,exportadora de cafe condor s.a,Colombia,1880 msnm,cauca,4t/2010,"February 22nd, 2011",Caturra,Washed / Wet,8.0,7.67,7.67,7.25,7.67,7.5,10.0,10.0,10.0,7.5,83.25,0.13,Green,"February 22nd, 2012",1880.0,1880.0,1880.0
Arabica,exportadora de cafe condor s.a,Colombia,1800 m.s.n.m,cundinamarca,4T/2010,"January 17th, 2011",Caturra,Washed / Wet,7.92,7.75,7.5,7.42,7.42,7.67,10.0,10.0,10.0,7.58,83.25,0.04,Green,"January 17th, 2012",1800.0,1800.0,1800.0
Arabica,ipanema coffees,Brazil,890,south of minas,2017 / 2018,"October 20th, 2017",Bourbon,Natural / Dry,7.67,7.42,7.5,7.58,7.67,7.58,10.0,10.0,10.0,7.75,83.17,0.11,Green,"October 20th, 2018",890.0,890.0,890.0
Arabica,juan luis alvarado romero,Guatemala,1901,oriente,2017,"August 24th, 2017",Bourbon,Washed / Wet,7.58,7.58,7.33,7.67,7.75,7.58,10.0,10.0,10.0,7.67,83.17,0.1,Green,"August 24th, 2018",1901.0,1901.0,1901.0
Arabica,taylor winch (t) ltd,"Tanzania, United Republic Of",16.8,moshi,2016,"June 20th, 2017",Bourbon,Washed / Wet,7.67,7.58,7.42,7.67,7.67,7.58,10.0,10.0,10.0,7.58,83.17,0.12,Green,"June 20th, 2018",168.0,168.0,168.0
Arabica,andrea bernal,Peru,1100,huila,2017,"June 16th, 2017",Caturra,Washed / Wet,7.92,7.5,7.5,7.58,7.67,7.5,10.0,10.0,10.0,7.5,83.17,0.11,Green,"June 16th, 2018",1750.5334541516245,1798.9861761732852,1774.759815162455
Arabica,"sunvirtue co., ltd.",Vietnam,1550,dala,2017,"May 8th, 2017",Catimor,Natural / Dry,7.58,7.42,7.08,7.33,7.58,8.58,10.0,10.0,10.0,7.58,83.17,0.07,Green,"May 8th, 2018",1550.0,1550.0,1550.0
Arabica,juan luis alvarado romero,Guatemala,1500,antigua,2016,"May 23rd, 2016",Caturra,Washed / Wet,7.67,7.75,7.42,7.75,7.58,7.5,10.0,10.0,10.0,7.5,83.17,0.11,Green,"May 23rd, 2017",1500.0,1500.0,1500.0
Arabica,cadexsa,Honduras,1450,marcala,2016,"May 2nd, 2016",Catuai,Washed / Wet,7.67,7.67,7.5,7.67,7.5,7.67,10.0,10.0,10.0,7.5,83.17,0.11,Blue-Green,"May 2nd, 2017",1450.0,1450.0,1450.0
Arabica,yunnan coffee exchange,China,1200,yunnan,2015,"April 6th, 2016",Catimor,Washed / Wet,7.5,7.67,7.33,7.67,7.67,7.67,10.0,10.0,10.0,7.67,83.17,0.11,Green,"April 6th, 2017",1200.0,1200.0,1200.0
Arabica,yunnan coffee exchange,China,1600,dehong prefecture,2015,"April 5th, 2016",Catimor,Washed / Wet,7.67,7.67,7.5,7.67,7.42,7.58,10.0,10.0,10.0,7.67,83.17,0.1,Green,"April 5th, 2017",1600.0,1600.0,1600.0
Arabica,consejo salvadoreÃ±o del cafÃ©,El Salvador,1350,apaneca,2016,"March 29th, 2016",Bourbon,Washed / Wet,7.5,7.5,7.33,7.67,8.0,7.67,10.0,10.0,10.0,7.5,83.17,0.0,Green,"March 29th, 2017",1350.0,1350.0,1350.0
Arabica,juan luis alvarado romero,Guatemala,1500msnm,antigua,2015,"October 29th, 2015",Bourbon,Washed / Wet,7.5,7.75,7.5,7.83,7.58,7.5,10.0,10.0,10.0,7.5,83.17,0.11,Green,"October 28th, 2016",1500.0,1500.0,1500.0
Arabica,juan luis alvarado romero,Guatemala,1400-1900 psn,oriente,2015,"September 29th, 2015",Bourbon,Washed / Wet,7.92,7.67,7.42,7.75,7.5,7.5,10.0,10.0,10.0,7.42,83.17,0.12,Green,"September 28th, 2016",1400.0,1900.0,1650.0
Arabica,taylor winch (coffee) ltd.,Kenya,approx.1'500 metres a.s.l.,kenya,2014,"July 3rd, 2015",SL28,Washed / Wet,7.83,7.75,7.67,7.75,7.83,8.5,9.33,9.33,9.33,7.83,83.17,0.1,Bluish-Green,"July 2nd, 2016",1.0,500.0,250.5
Arabica,doi tung development project,Thailand,800++,thailand,2014,"June 9th, 2015",Caturra,Washed / Wet,7.67,7.58,7.58,7.75,7.42,7.67,10.0,10.0,10.0,7.5,83.17,0.12,Bluish-Green,"June 8th, 2016",800.0,800.0,800.0
Arabica,tutunze kahawa ltd,"Tanzania, United Republic Of",1653,mbinga,2014,"December 12th, 2014",Other,Washed / Wet,7.58,7.67,7.67,7.58,7.42,7.58,10.0,10.0,10.0,7.67,83.17,0.13,Bluish-Green,"December 12th, 2015",1653.0,1653.0,1653.0
Arabica,racafe & cia s.c.a,Colombia,de 1600 a 1950 msnm,huila,2014,"November 5th, 2014",Caturra,Washed / Wet,7.58,7.5,7.5,7.67,7.5,7.67,10.0,10.0,10.0,7.75,83.17,0.0,Green,"November 5th, 2015",1600.0,1950.0,1775.0
Arabica,kabum trading company,Uganda,1800,eastern,2014,"October 28th, 2014",SL14,Washed / Wet,8.0,7.67,7.5,7.42,7.33,7.58,10.0,10.0,10.0,7.67,83.17,0.1,Bluish-Green,"October 28th, 2015",1800.0,1800.0,1800.0
Arabica,cafe politico,Colombia,1100,huila,2014,"August 25th, 2014",Caturra,Washed / Wet,7.58,7.75,7.5,7.58,7.58,7.58,10.0,10.0,10.0,7.58,83.17,0.11,Green,"August 25th, 2015",1750.5334541516245,1798.9861761732852,1774.759815162455
Arabica,mayra yessenia torres,Honduras,1450 msnn,san marcos,2013,"April 12th, 2014",Catuai,Natural / Dry,7.5,7.5,7.5,7.67,7.67,7.67,10.0,10.0,10.0,7.67,83.17,0.1,Green,"April 12th, 2015",1450.0,1450.0,1450.0
Arabica,juan luis alvarado romero,Honduras,1350,comayagua,2014/2015,"April 8th, 2014",Caturra,Natural / Dry,7.67,7.67,7.5,7.67,7.5,7.67,10.0,10.0,10.0,7.5,83.17,0.11,Green,"April 8th, 2015",1350.0,1350.0,1350.0
Arabica,juan luis alvarado romero,Guatemala,5000 pies,san marcos,2014,"March 27th, 2014",Catuai,Washed / Wet,7.33,7.83,7.17,8.17,7.33,7.67,10.0,10.0,10.0,7.67,83.17,0.09,Green,"March 27th, 2015",1524.0,1524.0,1524.0
Arabica,eileen koyanagi,United States (Hawaii),1100,kona,2013,"February 7th, 2014",Hawaiian Kona,Natural / Dry,7.5,7.5,7.58,7.42,7.92,7.67,10.0,10.0,10.0,7.58,83.17,0.11,Bluish-Green,"February 7th, 2015",1750.5334541516245,1798.9861761732852,1774.759815162455
Arabica,balam hinyula,"Tanzania, United Republic Of",1800,kilimanjaro,2014,"January 31st, 2014",Bourbon,Washed / Wet,7.58,7.5,7.58,7.75,7.58,7.58,10.0,10.0,10.0,7.58,83.17,0.12,Green,"January 31st, 2015",1800.0,1800.0,1800.0
Arabica,juan luis alvarado romero,Guatemala,4300,oriente,2013,"April 26th, 2013",Bourbon,Washed / Wet,7.67,7.83,7.33,7.67,7.5,7.67,10.0,10.0,10.0,7.5,83.17,0.11,Green,"April 26th, 2014",1310.64,1310.64,1310.64
Arabica,nestor mendez gomez,Mexico,1500,chiapas,2013,"March 29th, 2013",Typica,Washed / Wet,7.75,7.58,7.58,7.58,7.5,7.42,10.0,10.0,10.0,7.75,83.17,0.11,Green,"March 29th, 2014",1500.0,1500.0,1500.0
Arabica,saul m. hernandez ramirez,Mexico,532,"tlanchinol, hidalgo",2012,"September 27th, 2012",Typica,Washed / Wet,7.75,7.67,7.58,7.5,7.42,7.58,10.0,10.0,10.0,7.67,83.17,0.12,Green,"September 27th, 2013",532.0,532.0,532.0
Arabica,saul m. hernandez ramirez,Mexico,1089,san bartolo tutotepec,2012,"September 27th, 2012",Pacamara,Washed / Wet,7.58,7.75,7.42,7.67,7.5,7.58,10.0,10.0,10.0,7.67,83.17,0.14,Green,"September 27th, 2013",1089.0,1089.0,1089.0
Arabica,racafe & cia s.c.a,Colombia,de 1.600 a 1.950 msnm,huila,2012,"August 31st, 2012",Caturra,Washed / Wet,7.67,7.5,7.5,7.5,7.58,8.17,10.0,10.0,10.0,7.25,83.17,0.11,Green,"August 31st, 2013",1600.0,1950.0,1775.0
Arabica,fernando mendoza aparicio,Mexico,700,san isidro,2012,"July 11th, 2012",Typica,Washed / Wet,7.75,7.5,7.42,7.75,7.58,7.58,10.0,10.0,10.0,7.58,83.17,0.13,Green,"July 11th, 2013",700.0,700.0,700.0
Arabica,exportadora de cafe condor s.a,Colombia,1750 msnm,huila,2012,"June 8th, 2012",Caturra,Washed / Wet,7.58,7.67,7.5,7.58,7.67,7.67,10.0,10.0,10.0,7.5,83.17,0.11,Blue-Green,"June 8th, 2013",1750.0,1750.0,1750.0
Arabica,alfredo bojalil,Mexico,1380,la concordia,2012,"June 6th, 2012",Typica,Washed / Wet,7.5,7.75,7.58,7.58,7.67,7.5,10.0,10.0,10.0,7.58,83.17,0.11,Green,"June 6th, 2013",1380.0,1380.0,1380.0
Arabica,nucoffee,Brazil,1000m,south of minas,2012,"March 19th, 2012",Mundo Novo,Natural / Dry,7.75,7.67,7.58,7.5,7.58,7.58,10.0,10.0,10.0,7.5,83.17,0.12,Green,"March 19th, 2013",1000.0,1000.0,1000.0
Arabica,nucoffee,Brazil,950m,mogiana,2012,"February 17th, 2012",Mundo Novo,Natural / Dry,7.92,7.58,7.5,7.58,7.42,7.5,10.0,10.0,10.0,7.67,83.17,0.11,Green,"February 16th, 2013",950.0,950.0,950.0
Arabica,felipe isaza,Guatemala,4600 ft.,oriente,2012,"February 1st, 2012",Bourbon,Washed / Wet,7.75,7.5,7.67,7.5,7.92,8.0,10.0,10.0,9.33,7.5,83.17,0.0,Green,"January 31st, 2013",1402.08,1402.08,1402.08
Arabica,nucoffee,Brazil,1000m,south of minas,2011,"December 3rd, 2011",Mundo Novo,Semi-washed / Semi-pulped,7.75,7.5,7.58,7.5,7.75,7.5,10.0,10.0,10.0,7.58,83.17,0.12,Blue-Green,"December 2nd, 2012",1000.0,1000.0,1000.0
Arabica,nucoffee,Brazil,900m,south of minas,2011,"October 28th, 2011",Caturra,Washed / Wet,7.58,7.75,7.67,7.5,7.67,7.58,10.0,10.0,10.0,7.42,83.17,0.02,Green,"October 27th, 2012",900.0,900.0,900.0
Arabica,the coffee source inc.,El Salvador,1200 mts,santa ana,2010-2011,"August 23rd, 2011",Caturra,Washed / Wet,7.42,7.83,8.17,8.08,7.17,7.58,10.0,9.33,10.0,7.58,83.17,0.14,Green,"August 22nd, 2012",1200.0,1200.0,1200.0
Arabica,ethiopia commodity exchange,Ethiopia,1850 m,limu,August to December,"June 16th, 2010",Caturra,Washed / Wet,7.75,8.0,7.67,8.08,7.83,7.92,9.33,9.33,9.33,7.92,83.17,0.01,Green,"June 16th, 2011",1850.0,1850.0,1850.0
Arabica,carcafe ltda ci,Colombia,1799,cundinamarca,2016,"February 20th, 2017",Caturra,Washed / Wet,7.58,7.67,7.33,7.67,7.75,7.58,10.0,10.0,10.0,7.5,83.08,0.0,Green,"February 20th, 2018",1799.0,1799.0,1799.0
Arabica,racafe & cia s.c.a,Colombia,1100,huila,2016,"January 10th, 2017",Caturra,Washed / Wet,7.75,7.5,7.5,7.42,8.0,7.75,10.0,10.0,10.0,7.17,83.08,0.0,Green,"January 10th, 2018",1750.5334541516245,1798.9861761732852,1774.759815162455
